id,nba_id,display_name,first_name,last_name,roster_status,from_year,to_year,player_code,team_id,team_city,team_name,team_abbreviation,team_code
numeric,numeric,string,string,string,enum,numeric,numeric,string,numeric,string,string,string,string
408,76225,Winford Boynes,Winford,Boynes,0,1978,1980,HISTADD_winford_boynes,0,,,,
409,200841,Cedric Bozeman,Cedric,Bozeman,0,2006,2006,cedric_bozeman,0,,,,
410,76226,Steve Bracey,Steve,Bracey,0,1972,1974,HISTADD_steve_bracey,0,,,,
411,202342,Craig Brackins,Craig,Brackins,0,2010,2011,craig_brackins,0,,,,
412,76227,Gary Bradds,Gary,Bradds,0,1964,1965,HISTADD_tex_bradds,0,,,,
413,76228,Alex Bradley,Alex,Bradley,0,1981,1981,HISTADD_alex_bradley,0,,,,
414,76229,Alonzo Bradley,Alonzo,Bradley,0,1977,1979,HISTADD_alonzo_bradley,0,,,,
415,202340,Avery Bradley,Avery,Bradley,1,2010,2018,avery_bradley,1610612746,LA,Clippers,LAC,clippers
416,76233,Bill Bradley,Bill,Bradley,0,1967,1976,HISTADD_bill_bradley,0,,,,
417,76230,Charles Bradley,Charles,Bradley,0,1981,1983,HISTADD_charles_bradley,0,,,,
418,76231,Dudley Bradley,Dudley,Bradley,0,1979,1988,HISTADD_dudley_bradley,0,,,,
419,76232,Joe Bradley,Joe,Bradley,0,1949,1949,HISTADD_joe_bradley,0,,,,
420,2214,Michael Bradley,Michael,Bradley,0,2001,2005,michael_bradley,0,,,,
421,762,Shawn Bradley,Shawn,Bradley,0,1993,2004,shawn_bradley,0,,,,
422,1628396,Tony Bradley,Tony,Bradley,1,2017,2018,tony_bradley,1610612762,Utah,Jazz,UTA,jazz
423,1361,Mark Bradtke,Mark,Bradtke,0,1996,1996,mark_bradtke,0,,,,
424,66,Marques Bragg,Marques,Bragg,0,1995,1995,marques_bragg,0,,,,
425,1765,Torraye Braggs,Torraye,Braggs,0,2003,2004,torraye_braggs,0,,,,
426,1920,A.J. Bramlett,A.J.,Bramlett,0,1999,1999,a.j._bramlett,0,,,,
427,76237,Adrian Branch,Adrian,Branch,0,1986,1989,HISTADD_adrian_branch,0,,,,
428,1882,Elton Brand,Elton,Brand,0,1999,2015,elton_brand,0,,,,
429,210,Terrell Brandon,Terrell,Brandon,0,1991,2002,terrell_brandon,0,,,,
430,76238,Bob Brannum,Bob,Brannum,0,1949,1954,HISTADD_bob_brannum,0,,,,
431,76239,Brad Branson,Brad,Branson,0,1981,1982,HISTADD_bradley_branson,0,,,,
432,76240,Jesse Branson,Jesse,Branson,0,1965,1965,HISTADD_jesse_branson,0,,,,
433,76241,Jim Brasco,Jim,Brasco,0,1952,1952,HISTADD_jim_brasco,0,,,,
434,76242,Mike Bratz,Mike,Bratz,0,1977,1985,HISTADD_mike_bratz,0,,,,
435,76243,Carl Braun,Carl,Braun,0,1947,1961,HISTADD_carl_braun,0,,,,
436,160,Tim Breaux,Tim,Breaux,0,1994,1997,tim_breaux,0,,,,
437,2452,J.R. Bremer,J.R.,Bremer,0,2002,2003,j.r._bremer,0,,,,
438,76245,Pete Brennan,Pete,Brennan,0,1958,1958,HISTADD_pete_brennan,0,,,,
439,76246,Tom Brennan,Tom,Brennan,0,1954,1954,HISTADD_tom_brennan,0,,,,
440,76247,Randy Breuer,Randy,Breuer,0,1983,1993,HISTADD_randy_breuer,0,,,,
441,201147,Corey Brewer,Corey,Brewer,1,2007,2018,corey_brewer,1610612760,Oklahoma City,Thunder,OKC,thunder
442,2249,Jamison Brewer,Jamison,Brewer,0,2001,2004,jamison_brewer,0,,,,
443,76248,Jim Brewer,Jim,Brewer,0,1973,1981,HISTADD_jim_brewer,0,,,,
444,76249,Ron Brewer,Ron,Brewer,0,1978,1985,HISTADD_ron_brewer,0,,,,
445,200758,Ronnie Brewer,Ronnie,Brewer,0,2006,2013,ronnie_brewer,0,,,,
446,2056,Primoz Brezec,Primoz,Brezec,0,2001,2009,primoz_brezec,0,,,,
447,76250,Frank Brian,Frank,Brian,0,1949,1955,HISTADD_flash_brian,0,,,,
448,783,Frank Brickowski,Frank,Brickowski,0,1984,1996,frank_brickowski,0,,,,
449,76252,Junior Bridgeman,Junior,Bridgeman,0,1975,1986,HISTADD_junior_bridgeman,0,,,,
